id,chrom,start0,end0,gc,repeat_frac,genic
syn_0165_chr17_3069320,chr17,3069320,3077320,0.42125,0.583375,False
syn_0103_chr2_187112386,chr2,187112386,187120386,0.342125,0.272125,True
syn_0108_chr17_45945631,chr17,45945631,45953631,0.4855,0.379375,True
syn_0044_chr6_35016602,chr6,35016602,35024602,0.450875,0.195875,True
syn_0230_chr2_18595145,chr2,18595145,18603145,0.3945,0.495625,False
syn_0158_chr5_19481905,chr5,19481905,19489905,0.363375,0.390125,True
syn_0256_chr7_81850686,chr7,81850686,81858686,0.336875,0.30425,False
syn_0155_chr5_36122833,chr5,36122833,36130833,0.357625,0.526375,True
syn_0001_chr22_30654005,chr22,30654005,30662005,0.465875,0.714625,True
syn_0076_chr8_57661339,chr8,57661339,57669339,0.406875,0.471875,True
syn_0265_chr4_181751256,chr4,181751256,181759256,0.383125,0.080375,False
syn_0286_chr6_159317888,chr6,159317888,159325888,0.41625,0.511875,False
syn_0096_chr1_215952030,chr1,215952030,215960030,0.374,0.393,True
syn_0051_chr4_118106124,chr4,118106124,118114124,0.362125,0.419125,True
syn_0168_chr4_124427337,chr4,124427337,124435337,0.360125,0.294875,False
syn_0156_chr3_83365554,chr3,83365554,83373554,0.314,0.87125,False
syn_0242_chr4_74400965,chr4,74400965,74408965,0.3735,0.394125,False
syn_0275_chr1_179260315,chr1,179260315,179268315,0.3945,0.605875,False
syn_0089_chr17_71388387,chr17,71388387,71396387,0.3745,0.43675,False
syn_0200_chr9_76966123,chr9,76966123,76974123,0.433,0.43875,True
syn_0091_chr18_38189983,chr18,38189983,38197983,0.358625,0.637375,False
syn_0053_chr18_35647725,chr18,35647725,35655725,0.367625,0.428,True
syn_0290_chr4_85165486,chr4,85165486,85173486,0.37025,0.632625,False
syn_0153_chr2_116780658,chr2,116780658,116788658,0.301125,0.64125,False
syn_0069_chr3_53674197,chr3,53674197,53682197,0.4395,0.22025,True
syn_0246_chr22_11781078,chr22,11781078,11789078,0.376125,0.5855,False
syn_0064_chr1_55432984,chr1,55432984,55440984,0.389375,0.88275,True
syn_0211_chr4_71860425,chr4,71860425,71868425,0.36425,0.823875,False
syn_0020_chr16_1657748,chr16,1657748,1665748,0.528125,0.2545,True
syn_0027_chr18_9106909,chr18,9106909,9114909,0.392125,0.4755,True
syn_0071_chr4_125329088,chr4,125329088,125337088,0.338625,0.420625,True
syn_0024_chr6_76229170,chr6,76229170,76237170,0.376,0.499,False
syn_0295_chr6_40260640,chr6,40260640,40268640,0.46075,0.53325,False
syn_0006_chr7_9371834,chr7,9371834,9379834,0.328875,0.292375,False
syn_0188_chr10_46988599,chr10,46988599,46996599,0.3775,0.996625,True
syn_0203_chr16_55358389,chr16,55358389,55366389,0.391875,0.589625,False
syn_0182_chr4_180032995,chr4,180032995,180040995,0.3725,0.431875,True
syn_0229_chr2_193192739,chr2,193192739,193200739,0.307875,0.403875,False
syn_0277_chr12_10149470,chr12,10149470,10157470,0.41675,0.99625,False
syn_0289_chr16_86307932,chr16,86307932,86315932,0.4905,0.32725,False
